,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ABMD
5,ACN
6,ATVI
7,ADM
8,ADBE
9,ADP
10,AAP
11,AES
12,AFL
13,A
14,APD
15,AKAM
16,ALK
17,ALB
18,ARE
19,ALGN
20,ALLE
21,LNT
22,ALL
23,GOOGL
24,GOOG
25,MO
26,AMZN
27,AMCR
28,AMD
29,AEE
30,AAL
31,AEP
32,AXP
33,AIG
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,ANTM
44,AON
45,APA
46,AAPL
47,AMAT
48,APTV
49,ANET
50,AJG
51,AIZ
52,T
53,ATO
54,ADSK
55,AZO
56,AVB
57,AVY
58,BKR
59,BALL
60,BAC
61,BBWI
62,BAX
63,BDX
64,WRB
65,BRK.B
66,BBY
67,BIO
68,TECH
69,BIIB
70,BLK
71,BK
72,BA
73,BKNG
74,BWA
75,BXP
76,BSX
77,BMY
78,AVGO
79,BR
80,BRO
81,BF.B
82,CHRW
83,CDNS
84,CZR
85,CPT
86,CPB
87,COF
88,CAH
89,KMX
90,CCL
91,CARR
92,CTLT
93,CAT
94,CBOE
95,CBRE
96,CDW
97,CE
98,CNC
99,CNP
100,CDAY
101,CF
102,CRL
103,SCHW
104,CHTR
105,CVX
106,CMG
107,CB
108,CHD
109,CI
110,CINF
111,CTAS
112,CSCO
113,C
114,CFG
115,CTXS
116,CLX
117,CME
118,CMS
119,KO
120,CTSH
121,CL
122,CMCSA
123,CMA
124,CAG
125,COP
126,ED
127,STZ
128,CEG
129,COO
130,CPRT
131,GLW
132,CTVA
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHI
140,DHR
141,DRI
142,DVA
143,DE
144,DAL
145,XRAY
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DISH
152,DIS
153,DG
154,DLTR
155,D
156,DPZ
157,DOV
158,DOW
159,DTE
160,DUK
161,DRE
162,DD
163,DXC
164,EMN
165,ETN
166,EBAY
167,ECL
168,EIX
169,EW
170,EA
171,LLY
172,EMR
173,ENPH
174,ETR
175,EOG
176,EPAM
177,EFX
178,EQIX
179,EQR
180,ESS
181,EL
182,ETSY
183,RE
184,EVRG
185,ES
186,EXC
187,EXPE
188,EXPD
189,EXR
190,XOM
191,FFIV
192,FDS
193,FAST
194,FRT
195,FDX
196,FITB
197,FRC
198,FE
199,FIS
200,FISV
201,FLT
202,FMC
203,F
204,FTNT
205,FTV
206,FBHS
207,FOXA
208,FOX
209,BEN
210,FCX
211,GRMN
212,IT
213,GE
214,GNRC
215,GD
216,GIS
217,GM
218,GPC
219,GILD
220,GL
221,GPN
222,GS
223,HAL
224,HIG
225,HAS
226,HCA
227,PEAK
228,HSIC
229,HSY
230,HES
231,HPE
232,HLT
233,HOLX
234,HD
235,HON
236,HRL
237,HST
238,HWM
239,HPQ
240,HUM
241,HII
242,HBAN
243,IBM
244,IEX
245,IDXX
246,ITW
247,ILMN
248,INCY
249,IR
250,INTC
251,ICE
252,IP
253,IPG
254,IFF
255,INTU
256,ISRG
257,IVZ
258,IPGP
259,IQV
260,IRM
261,JBHT
262,JKHY
263,J
264,JNJ
265,JCI
266,JPM
267,JNPR
268,K
269,KEY
270,KEYS
271,KMB
272,KIM
273,KMI
274,KLAC
275,KHC
276,KR
277,LHX
278,LH
279,LRCX
280,LW
281,LVS
282,LDOS
283,LEN
284,LNC
285,LIN
286,LYV
287,LKQ
288,LMT
289,L
290,LOW
291,LUMN
292,LYB
293,MTB
294,MRO
295,MPC
296,MKTX
297,MAR
298,MMC
299,MLM
300,MAS
301,MA
302,MTCH
303,MKC
304,MCD
305,MCK
306,MDT
307,MRK
308,META
309,MET
310,MTD
311,MGM
312,MCHP
313,MU
314,MSFT
315,MAA
316,MRNA
317,MHK
318,MOH
319,TAP
320,MDLZ
321,MPWR
322,MNST
323,MCO
324,MS
325,MOS
326,MSI
327,MSCI
328,NDAQ
329,NTAP
330,NFLX
331,NWL
332,NEM
333,NWSA
334,NWS
335,NEE
336,NLSN
337,NKE
338,NI
339,NDSN
340,NSC
341,NTRS
342,NOC
343,NLOK
344,NCLH
345,NRG
346,NUE
347,NVDA
348,NVR
349,NXPI
350,ORLY
351,OXY
352,ODFL
353,OMC
354,OKE
355,ORCL
356,OGN
357,OTIS
358,PCAR
359,PKG
360,PARA
361,PH
362,PAYX
363,PAYC
364,PYPL
365,PENN
366,PNR
367,PEP
368,PKI
369,PFE
370,PM
371,PSX
372,PNW
373,PXD
374,PNC
375,POOL
376,PPG
377,PPL
378,PFG
379,PG
380,PGR
381,PLD
382,PRU
383,PEG
384,PTC
385,PSA
386,PHM
387,PVH
388,QRVO
389,PWR
390,QCOM
391,DGX
392,RL
393,RJF
394,RTX
395,O
396,REG
397,REGN
398,RF
399,RSG
400,RMD
401,RHI
402,ROK
403,ROL
404,ROP
405,ROST
406,RCL
407,SPGI
408,CRM
409,SBAC
410,SLB
411,STX
412,SEE
413,SRE
414,NOW
415,SHW
416,SBNY
417,SPG
418,SWKS
419,SJM
420,SNA
421,SEDG
422,SO
423,LUV
424,SWK
425,SBUX
426,STT
427,STE
428,SYK
429,SIVB
430,SYF
431,SNPS
432,SYY
433,TMUS
434,TROW
435,TTWO
436,TPR
437,TGT
438,TEL
439,TDY
440,TFX
441,TER
442,TSLA
443,TXN
444,TXT
445,TMO
446,TJX
447,TSCO
448,TT
449,TDG
450,TRV
451,TRMB
452,TFC
453,TWTR
454,TYL
455,TSN
456,USB
457,UDR
458,ULTA
459,UAA
460,UA
461,UNP
462,UAL
463,UPS
464,URI
465,UNH
466,UHS
467,VLO
468,VTR
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VFC
474,VTRS
475,VICI
476,V
477,VNO
478,VMC
479,WAB
480,WBA
481,WMT
482,WBD
483,WM
484,WAT
485,WEC
486,WFC
487,WELL
488,WST
489,WDC
490,WRK
491,WY
492,WHR
493,WMB
494,WTW
495,GWW
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZION
503,ZTS
